optimal_tour,optimal_tour_length,3opt_tour,3opt_tour_length,score,time
"{1, 23, 14, 13, 24, 25, 18, 12, 8, 30, 17, 4, 15, 29, 5, 10, 27, 11, 26, 3, 21, 28, 6, 2, 19, 22, 16, 7, 9, 20, 1}",4.473870,"{1, 20, 16, 22, 19, 7, 9, 28, 6, 2, 21, 3, 26, 11, 27, 10, 5, 29, 15, 4, 17, 30, 8, 12, 18, 25, 24, 13, 14, 23, 1}",4.506818,0.007365,0.676727
"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,0.000000,0.226692
"{1, 8, 11, 28, 4, 22, 17, 5, 9, 15, 27, 16, 20, 7, 29, 18, 12, 23, 19, 24, 10, 21, 25, 14, 3, 30, 13, 2, 6, 26, 1}",4.241726,"{1, 26, 6, 2, 13, 30, 3, 14, 25, 21, 10, 24, 19, 23, 12, 18, 29, 7, 20, 16, 27, 15, 9, 5, 17, 22, 4, 28, 11, 8, 1}",4.241726,0.000000,1.347642
"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,0.000000,0.845329
"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,0.000000,0.214312
"{1, 16, 4, 26, 10, 24, 11, 5, 7, 17, 15, 21, 14, 25, 18, 9, 22, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",4.370493,"{1, 16, 4, 26, 3, 28, 8, 19, 9, 18, 14, 25, 22, 13, 6, 15, 21, 17, 7, 5, 11, 24, 10, 30, 12, 29, 27, 2, 20, 23, 1}",4.587912,0.049747,0.216462
"{1, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 7, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.556080,"{1, 11, 20, 10, 24, 28, 2, 23, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 4, 27, 30, 17, 3, 19, 16, 7, 15, 1}",5.006345,0.098827,0.214700
"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,0.000000,0.215033
"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,0.000000,0.216705
"{1, 27, 13, 16, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 1}",4.396293,"{1, 27, 13, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 16, 1}",4.434424,0.008674,0.219583
"{1, 29, 12, 23, 10, 7, 30, 6, 26, 25, 14, 21, 19, 27, 17, 22, 4, 8, 11, 15, 2, 24, 20, 13, 9, 28, 3, 5, 18, 16, 1}",4.349826,"{1, 29, 12, 23, 10, 7, 30, 6, 26, 25, 14, 21, 19, 27, 17, 22, 4, 8, 11, 15, 2, 24, 20, 13, 9, 28, 3, 5, 18, 16, 1}",4.349826,0.000000,0.213568
"{1, 9, 23, 26, 7, 2, 19, 6, 15, 28, 27, 30, 10, 4, 8, 18, 13, 25, 12, 24, 16, 3, 21, 14, 5, 20, 17, 22, 11, 29, 1}",4.349609,"{1, 29, 20, 17, 22, 15, 28, 27, 30, 10, 4, 8, 18, 13, 25, 12, 5, 24, 16, 14, 3, 21, 9, 23, 26, 7, 2, 6, 19, 11, 1}",4.563990,0.049287,0.217220
"{1, 10, 22, 12, 8, 27, 14, 25, 29, 7, 15, 6, 24, 18, 3, 13, 4, 17, 2, 30, 26, 20, 19, 16, 11, 5, 21, 23, 9, 28, 1}",4.757735,"{1, 10, 22, 12, 8, 27, 14, 25, 29, 7, 15, 6, 24, 18, 3, 13, 4, 17, 2, 30, 26, 20, 19, 16, 11, 5, 21, 23, 9, 28, 1}",4.757735,0.000000,0.219871
"{1, 25, 27, 20, 16, 17, 6, 23, 30, 12, 26, 29, 24, 5, 13, 11, 8, 2, 22, 28, 15, 18, 9, 21, 3, 4, 14, 10, 7, 19, 1}",4.608700,"{1, 19, 7, 8, 11, 12, 26, 29, 24, 5, 13, 28, 22, 2, 15, 18, 9, 21, 3, 4, 14, 10, 20, 16, 17, 6, 23, 30, 25, 27, 1}",4.651447,0.009275,0.220199
"{1, 19, 26, 24, 20, 28, 8, 5, 12, 29, 3, 15, 14, 22, 9, 30, 10, 21, 13, 23, 4, 16, 7, 18, 6, 2, 25, 27, 17, 11, 1}",4.607524,"{1, 11, 17, 27, 25, 2, 24, 20, 8, 28, 23, 13, 4, 7, 18, 6, 16, 21, 10, 30, 9, 22, 14, 15, 3, 29, 12, 5, 26, 19, 1}",4.728142,0.026178,0.219347
"{1, 12, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 8, 22, 10, 3, 23, 5, 6, 15, 9, 21, 24, 25, 4, 17, 7, 14, 1}",3.668962,"{1, 7, 14, 24, 4, 25, 21, 9, 15, 6, 5, 23, 11, 28, 19, 29, 27, 18, 26, 8, 22, 10, 3, 17, 2, 20, 30, 16, 13, 12, 1}",3.911052,0.065983,0.861050
"{1, 14, 26, 3, 29, 9, 27, 28, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 22, 15, 5, 21, 11, 10, 18, 17, 16, 1}",4.800034,"{1, 16, 17, 18, 10, 11, 21, 5, 15, 22, 8, 23, 7, 25, 30, 20, 2, 4, 19, 24, 12, 13, 6, 28, 27, 9, 29, 3, 26, 14, 1}",4.800034,0.000000,0.647172
"{1, 7, 21, 16, 13, 23, 29, 3, 27, 9, 4, 25, 2, 14, 10, 30, 6, 18, 24, 8, 26, 17, 28, 20, 22, 11, 15, 12, 19, 5, 1}",4.394509,"{1, 5, 19, 15, 11, 22, 20, 28, 17, 26, 8, 24, 18, 6, 30, 10, 14, 2, 25, 4, 23, 29, 9, 27, 3, 21, 16, 13, 7, 12, 1}",4.419176,0.005613,0.434326
"{1, 6, 28, 17, 19, 24, 29, 7, 5, 20, 11, 8, 18, 21, 10, 15, 9, 22, 4, 12, 2, 14, 25, 30, 16, 13, 27, 23, 26, 3, 1}",4.625886,"{1, 3, 26, 23, 27, 13, 16, 30, 25, 14, 2, 12, 4, 22, 9, 15, 10, 21, 18, 8, 11, 20, 5, 7, 29, 24, 19, 17, 28, 6, 1}",4.625886,0.000000,1.091735
"{1, 16, 10, 22, 19, 24, 25, 2, 6, 28, 11, 8, 18, 15, 20, 27, 4, 13, 26, 3, 9, 29, 30, 7, 14, 21, 17, 12, 5, 23, 1}",4.927252,"{1, 5, 23, 26, 3, 21, 12, 17, 14, 7, 9, 30, 29, 20, 15, 18, 8, 4, 27, 13, 25, 11, 28, 6, 2, 22, 16, 10, 19, 24, 1}",4.995780,0.013908,0.643491
"{1, 24, 11, 16, 25, 22, 29, 9, 27, 15, 13, 21, 5, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 6, 14, 28, 12, 20, 2, 17, 1}",4.747001,"{1, 24, 11, 16, 25, 22, 29, 9, 27, 15, 8, 30, 19, 10, 3, 7, 4, 18, 23, 26, 5, 21, 13, 6, 14, 28, 12, 20, 2, 17, 1}",4.744551,-0.000516,0.642640
