optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 8, 19, 7, 11, 4, 13, 20, 10, 5, 15, 9, 18, 3, 6, 12, 14, 2, 16, 17, 1}",3.347795,"{1, 3, 18, 6, 12, 17, 16, 2, 14, 9, 15, 5, 10, 13, 20, 4, 11, 7, 19, 8, 1}",3.820118,0.141085,0.000195
"{1, 6, 17, 16, 8, 9, 5, 14, 18, 7, 2, 10, 4, 19, 13, 15, 12, 20, 3, 11, 1}",4.131330,"{1, 17, 16, 8, 5, 9, 14, 18, 2, 7, 10, 19, 4, 13, 6, 15, 12, 20, 3, 11, 1}",4.355599,0.054285,0.000206
"{1, 3, 13, 2, 9, 6, 11, 20, 19, 15, 8, 5, 4, 7, 14, 18, 17, 10, 12, 16, 1}",4.468433,"{1, 13, 16, 12, 10, 18, 17, 19, 2, 9, 6, 11, 20, 15, 14, 7, 4, 5, 8, 3, 1}",5.269736,0.179325,0.000171
"{1, 13, 14, 20, 5, 16, 11, 8, 10, 7, 9, 2, 15, 17, 19, 6, 12, 3, 4, 18, 1}",3.863744,"{1, 18, 4, 6, 3, 12, 19, 15, 2, 17, 13, 14, 7, 9, 10, 8, 5, 11, 16, 20, 1}",5.679192,0.469867,0.000222
"{1, 15, 18, 8, 3, 20, 6, 11, 14, 19, 17, 16, 4, 13, 9, 12, 5, 2, 10, 7, 1}",4.121216,"{1, 15, 3, 8, 18, 20, 6, 11, 14, 19, 17, 16, 4, 9, 13, 12, 2, 10, 7, 5, 1}",4.422039,0.072994,0.000195
"{1, 14, 4, 11, 9, 15, 16, 19, 3, 7, 5, 20, 2, 10, 18, 17, 8, 12, 13, 6, 1}",3.855716,"{1, 14, 9, 3, 19, 16, 15, 13, 12, 17, 2, 20, 5, 8, 18, 10, 7, 11, 4, 6, 1}",5.296762,0.373743,0.000181
"{1, 2, 19, 3, 8, 10, 17, 20, 15, 7, 18, 5, 9, 11, 16, 13, 14, 6, 12, 4, 1}",3.965355,"{1, 4, 12, 6, 14, 13, 16, 19, 3, 8, 10, 20, 15, 7, 5, 18, 9, 11, 17, 2, 1}",4.832416,0.218659,0.000186
"{1, 15, 11, 4, 19, 12, 5, 10, 14, 6, 8, 7, 13, 18, 9, 16, 2, 3, 20, 17, 1}",4.155659,"{1, 17, 20, 3, 2, 16, 9, 18, 7, 8, 13, 14, 6, 10, 5, 12, 19, 4, 11, 15, 1}",4.572412,0.100286,0.000189
"{1, 8, 16, 7, 15, 14, 3, 18, 17, 12, 9, 10, 11, 19, 5, 13, 20, 2, 4, 6, 1}",3.670597,"{1, 8, 16, 7, 15, 18, 17, 14, 3, 12, 9, 10, 19, 11, 5, 13, 20, 2, 4, 6, 1}",4.086396,0.113278,0.000175
"{1, 12, 7, 17, 20, 16, 18, 10, 5, 11, 15, 2, 4, 9, 8, 13, 14, 19, 3, 6, 1}",3.873764,"{1, 12, 7, 17, 20, 16, 18, 11, 15, 5, 10, 2, 14, 9, 4, 8, 13, 19, 3, 6, 1}",4.258044,0.099201,0.000175
"{1, 5, 3, 20, 13, 6, 16, 2, 15, 17, 19, 18, 8, 12, 4, 11, 14, 10, 7, 9, 1}",3.489861,"{1, 9, 10, 7, 11, 8, 12, 4, 14, 17, 19, 18, 15, 2, 16, 20, 3, 13, 6, 5, 1}",4.165210,0.193517,0.000203
"{1, 8, 18, 14, 3, 9, 11, 17, 12, 19, 4, 6, 20, 5, 13, 7, 10, 16, 2, 15, 1}",3.248856,"{1, 15, 16, 7, 13, 6, 4, 19, 18, 14, 9, 3, 11, 17, 12, 20, 5, 10, 2, 8, 1}",4.035840,0.242234,0.000188
"{1, 6, 15, 13, 7, 12, 14, 11, 20, 17, 2, 3, 19, 8, 16, 9, 4, 18, 10, 5, 1}",3.433903,"{1, 15, 10, 4, 18, 9, 16, 8, 19, 3, 2, 17, 11, 20, 14, 12, 7, 13, 6, 5, 1}",3.917164,0.140732,0.000178
"{1, 3, 20, 8, 12, 15, 5, 6, 14, 7, 13, 18, 10, 11, 16, 2, 17, 9, 19, 4, 1}",3.790550,"{1, 8, 20, 3, 9, 19, 4, 17, 2, 16, 11, 10, 18, 13, 7, 14, 6, 5, 15, 12, 1}",4.189891,0.105352,0.000203
"{1, 13, 16, 11, 2, 4, 17, 18, 6, 19, 8, 15, 3, 10, 5, 20, 14, 7, 9, 12, 1}",3.482195,"{1, 13, 16, 11, 2, 4, 17, 18, 15, 3, 7, 6, 19, 8, 10, 5, 14, 20, 9, 12, 1}",3.813051,0.095013,0.000172
"{1, 2, 18, 4, 16, 19, 5, 6, 13, 8, 15, 11, 9, 3, 7, 12, 14, 20, 10, 17, 1}",3.701658,"{1, 17, 10, 14, 7, 3, 12, 20, 18, 4, 16, 13, 8, 15, 11, 9, 6, 5, 19, 2, 1}",4.751534,0.283623,0.000197
"{1, 11, 12, 2, 10, 18, 6, 9, 4, 5, 20, 7, 14, 13, 8, 16, 19, 17, 3, 15, 1}",3.799545,"{1, 12, 19, 16, 8, 13, 7, 14, 20, 5, 4, 9, 6, 18, 10, 2, 11, 17, 3, 15, 1}",4.349651,0.144782,0.000174
"{1, 7, 17, 14, 16, 15, 6, 4, 18, 3, 20, 10, 5, 9, 12, 11, 19, 13, 2, 8, 1}",3.931634,"{1, 8, 2, 13, 19, 11, 12, 9, 5, 10, 20, 3, 18, 6, 4, 14, 16, 15, 17, 7, 1}",4.068356,0.034775,0.000227
