optimal_tour,optimal_tour_length,gcn_tour,gcn_tour_length,score,time
"{1, 23, 14, 13, 24, 25, 18, 12, 8, 30, 17, 4, 15, 29, 5, 10, 27, 11, 26, 3, 21, 28, 6, 2, 19, 22, 16, 7, 9, 20, 1}",4.473870,"{1, 20, 7, 16, 22, 19, 2, 6, 28, 21, 3, 26, 11, 27, 10, 5, 29, 15, 4, 17, 30, 8, 18, 12, 25, 24, 13, 14, 23, 9, 1}",4.532942,0.013204,0.252879
"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,"{1, 29, 28, 4, 2, 11, 17, 22, 5, 27, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 10, 26, 21, 24, 15, 20, 12, 30, 13, 19, 1}",4.621691,0.033709,0.093281
"{1, 8, 11, 28, 4, 22, 17, 5, 9, 15, 27, 16, 20, 7, 29, 18, 12, 23, 19, 24, 10, 21, 25, 14, 3, 30, 13, 2, 6, 26, 1}",4.241726,"{1, 26, 6, 2, 13, 30, 3, 14, 25, 24, 21, 10, 23, 19, 12, 18, 29, 7, 20, 16, 27, 15, 9, 5, 17, 22, 4, 28, 11, 8, 1}",4.270927,0.006884,0.092924
"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,"{1, 3, 9, 13, 20, 19, 22, 21, 10, 30, 14, 28, 18, 25, 24, 17, 4, 7, 8, 2, 5, 26, 23, 16, 6, 27, 15, 29, 12, 11, 1}",5.051383,0.038631,0.095189
"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,"{1, 24, 5, 17, 4, 6, 18, 21, 11, 25, 27, 15, 30, 3, 7, 14, 29, 20, 22, 23, 8, 13, 9, 2, 16, 10, 19, 12, 28, 26, 1}",4.475554,0.020121,0.099575
"{1, 16, 4, 26, 10, 24, 11, 5, 7, 17, 15, 21, 14, 25, 18, 9, 22, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",4.370493,"{1, 16, 4, 26, 3, 28, 8, 19, 23, 20, 2, 27, 29, 12, 30, 13, 6, 22, 9, 18, 25, 14, 15, 21, 17, 7, 5, 11, 24, 10, 1}",4.527073,0.035827,0.100166
"{1, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 7, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.556080,"{1, 11, 2, 23, 28, 24, 10, 20, 17, 30, 27, 4, 3, 15, 7, 16, 19, 8, 14, 18, 5, 13, 29, 21, 25, 9, 22, 26, 12, 6, 1}",4.556080,0.000000,0.092223
"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,"{1, 30, 29, 24, 22, 19, 4, 18, 23, 26, 21, 2, 7, 14, 17, 3, 12, 20, 15, 8, 10, 9, 25, 16, 5, 27, 13, 11, 28, 6, 1}",4.789385,0.029717,0.091529
"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 28, 21, 15, 17, 10, 27, 1}",4.864062,0.036856,0.090182
"{1, 27, 13, 16, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 1}",4.396293,"{1, 27, 13, 3, 29, 16, 6, 7, 17, 14, 22, 26, 19, 11, 10, 30, 18, 2, 4, 25, 12, 20, 28, 24, 9, 23, 5, 15, 8, 21, 1}",4.724859,0.074737,0.094301
"{1, 29, 12, 23, 10, 7, 30, 6, 26, 25, 14, 21, 19, 27, 17, 22, 4, 8, 11, 15, 2, 24, 20, 13, 9, 28, 3, 5, 18, 16, 1}",4.349826,"{1, 29, 12, 23, 10, 6, 30, 7, 26, 25, 14, 21, 19, 27, 17, 22, 4, 8, 11, 15, 2, 24, 20, 16, 13, 9, 28, 3, 5, 18, 1}",4.361094,0.002590,0.093769
"{1, 9, 23, 26, 7, 2, 19, 6, 15, 28, 27, 30, 10, 4, 8, 18, 13, 25, 12, 24, 16, 3, 21, 14, 5, 20, 17, 22, 11, 29, 1}",4.349609,"{1, 29, 11, 22, 17, 20, 5, 14, 21, 3, 16, 24, 12, 25, 13, 18, 8, 4, 10, 30, 27, 28, 15, 6, 19, 2, 7, 26, 23, 9, 1}",4.349609,0.000000,0.094273
"{1, 10, 22, 12, 8, 27, 14, 25, 29, 7, 15, 6, 24, 18, 3, 13, 4, 17, 2, 30, 26, 20, 19, 16, 11, 5, 21, 23, 9, 28, 1}",4.757735,"{1, 10, 22, 12, 8, 27, 14, 25, 29, 7, 15, 6, 24, 18, 13, 3, 4, 17, 2, 30, 26, 20, 19, 16, 11, 5, 21, 23, 9, 28, 1}",4.761690,0.000831,0.093593
"{1, 25, 27, 20, 16, 17, 6, 23, 30, 12, 26, 29, 24, 5, 13, 11, 8, 2, 22, 28, 15, 18, 9, 21, 3, 4, 14, 10, 7, 19, 1}",4.608700,"{1, 19, 7, 14, 4, 3, 21, 9, 18, 15, 8, 11, 2, 22, 28, 13, 5, 24, 29, 26, 12, 30, 23, 25, 27, 6, 17, 16, 20, 10, 1}",4.676365,0.014682,0.090788
"{1, 19, 26, 24, 20, 28, 8, 5, 12, 29, 3, 15, 14, 22, 9, 30, 10, 21, 13, 23, 4, 16, 7, 18, 6, 2, 25, 27, 17, 11, 1}",4.607524,"{1, 19, 5, 8, 28, 12, 29, 3, 15, 14, 22, 9, 30, 10, 21, 13, 23, 4, 16, 7, 18, 6, 20, 24, 26, 25, 2, 27, 17, 11, 1}",4.754668,0.031936,0.090606
"{1, 12, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 8, 22, 10, 3, 23, 5, 6, 15, 9, 21, 24, 25, 4, 17, 7, 14, 1}",3.668962,"{1, 12, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 8, 22, 10, 3, 23, 5, 6, 15, 9, 21, 24, 25, 17, 4, 7, 14, 1}",3.701244,0.008799,0.093739
"{1, 14, 26, 3, 29, 9, 27, 28, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 22, 15, 5, 21, 11, 10, 18, 17, 16, 1}",4.800034,"{1, 14, 26, 29, 3, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 22, 15, 5, 21, 11, 10, 18, 17, 16, 27, 28, 9, 1}",5.276002,0.099159,0.092278
"{1, 7, 21, 16, 13, 23, 29, 3, 27, 9, 4, 25, 2, 14, 10, 30, 6, 18, 24, 8, 26, 17, 28, 20, 22, 11, 15, 12, 19, 5, 1}",4.394509,"{1, 5, 19, 15, 11, 22, 20, 28, 17, 26, 8, 24, 6, 30, 18, 10, 14, 2, 25, 4, 23, 29, 9, 27, 3, 21, 16, 13, 7, 12, 1}",4.435338,0.009291,0.091656
