optimal_tour,optimal_tour_length,greedy_tour,greedy_tour_length,score,time
"{1, 23, 14, 13, 24, 25, 18, 12, 8, 30, 17, 4, 15, 29, 5, 10, 27, 11, 26, 3, 21, 28, 6, 2, 19, 22, 16, 7, 9, 20, 1}",4.473870,"{1, 20, 23, 9, 28, 6, 2, 21, 3, 26, 27, 11, 10, 5, 29, 15, 4, 17, 30, 8, 19, 22, 16, 7, 18, 12, 25, 24, 13, 14, 1}",5.182838,0.158469,0.000278
"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 20, 15, 21, 26, 24, 10, 25, 14, 18, 3, 7, 23, 9, 6, 16, 8, 13, 30, 12, 19, 1}",5.153837,0.152731,0.000257
"{1, 8, 11, 28, 4, 22, 17, 5, 9, 15, 27, 16, 20, 7, 29, 18, 12, 23, 19, 24, 10, 21, 25, 14, 3, 30, 13, 2, 6, 26, 1}",4.241726,"{1, 6, 8, 11, 14, 3, 30, 13, 2, 25, 24, 10, 21, 16, 19, 23, 12, 18, 29, 7, 20, 27, 15, 9, 5, 17, 22, 4, 28, 26, 1}",4.693270,0.106453,0.000252
"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,"{1, 3, 9, 13, 20, 30, 19, 21, 10, 14, 28, 18, 25, 24, 17, 4, 5, 26, 2, 7, 8, 22, 11, 29, 12, 27, 6, 15, 16, 23, 1}",5.553104,0.141792,0.000254
"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,"{1, 28, 26, 22, 12, 16, 10, 19, 2, 23, 13, 8, 29, 14, 3, 7, 20, 25, 11, 21, 27, 30, 15, 9, 5, 17, 4, 18, 6, 24, 1}",5.625465,0.282223,0.000258
"{1, 16, 4, 26, 10, 24, 11, 5, 7, 17, 15, 21, 14, 25, 18, 9, 22, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",4.370493,"{1, 16, 4, 26, 10, 24, 5, 11, 14, 25, 18, 9, 22, 21, 15, 17, 7, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",5.032632,0.151502,0.000254
"{1, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 7, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.556080,"{1, 11, 28, 2, 23, 9, 4, 24, 10, 20, 17, 30, 27, 3, 15, 7, 16, 19, 8, 14, 18, 5, 13, 29, 21, 25, 22, 26, 12, 6, 1}",5.959416,0.308014,0.000261
"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,"{1, 30, 29, 24, 22, 19, 4, 18, 23, 26, 21, 2, 7, 14, 17, 3, 12, 10, 8, 20, 15, 6, 25, 9, 16, 5, 27, 13, 11, 28, 1}",4.929930,0.059934,0.000247
"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,"{1, 23, 13, 22, 25, 3, 7, 11, 5, 30, 2, 18, 9, 8, 29, 6, 16, 12, 4, 24, 19, 20, 14, 26, 27, 17, 15, 10, 21, 28, 1}",5.379919,0.146819,0.000257
"{1, 27, 13, 16, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 1}",4.396293,"{1, 27, 13, 3, 16, 6, 7, 17, 14, 22, 26, 18, 30, 10, 11, 19, 15, 9, 23, 5, 28, 24, 20, 12, 25, 2, 4, 8, 21, 29, 1}",5.175598,0.177264,0.000253
"{1, 29, 12, 23, 10, 7, 30, 6, 26, 25, 14, 21, 19, 27, 17, 22, 4, 8, 11, 15, 2, 24, 20, 13, 9, 28, 3, 5, 18, 16, 1}",4.349826,"{1, 29, 12, 23, 10, 7, 30, 6, 26, 19, 21, 14, 25, 27, 17, 22, 4, 24, 2, 15, 8, 11, 20, 5, 3, 9, 28, 13, 16, 18, 1}",4.808625,0.105475,0.000256
"{1, 9, 23, 26, 7, 2, 19, 6, 15, 28, 27, 30, 10, 4, 8, 18, 13, 25, 12, 24, 16, 3, 21, 14, 5, 20, 17, 22, 11, 29, 1}",4.349609,"{1, 29, 9, 26, 23, 7, 2, 19, 6, 15, 28, 27, 30, 3, 21, 14, 16, 24, 5, 12, 25, 13, 18, 8, 4, 10, 22, 17, 20, 11, 1}",5.047359,0.160417,0.000261
"{1, 10, 22, 12, 8, 27, 14, 25, 29, 7, 15, 6, 24, 18, 3, 13, 4, 17, 2, 30, 26, 20, 19, 16, 11, 5, 21, 23, 9, 28, 1}",4.757735,"{1, 10, 2, 17, 30, 26, 20, 3, 13, 4, 19, 16, 11, 5, 21, 23, 9, 28, 18, 24, 6, 15, 7, 29, 25, 14, 27, 8, 12, 22, 1}",5.597074,0.176416,0.000256
