optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 23, 14, 13, 24, 25, 18, 12, 8, 30, 17, 4, 15, 29, 5, 10, 27, 11, 26, 3, 21, 28, 6, 2, 19, 22, 16, 7, 9, 20, 1}",4.473870,"{1, 20, 14, 13, 24, 23, 30, 8, 17, 4, 15, 29, 5, 27, 11, 26, 3, 21, 2, 6, 28, 9, 7, 16, 22, 19, 25, 12, 18, 10, 1}",6.262647,0.399828,0.000116
"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 9, 6, 16, 8, 26, 21, 24, 15, 20, 12, 30, 13, 19, 1}",4.505327,0.007683,0.000128
"{1, 8, 11, 28, 4, 22, 17, 5, 9, 15, 27, 16, 20, 7, 29, 18, 12, 23, 19, 24, 10, 21, 25, 14, 3, 30, 13, 2, 6, 26, 1}",4.241726,"{1, 8, 6, 26, 11, 14, 3, 30, 13, 2, 28, 4, 18, 29, 7, 20, 27, 15, 9, 5, 17, 22, 12, 23, 19, 16, 25, 24, 10, 21, 1}",5.357088,0.262950,0.000124
"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,"{1, 3, 9, 13, 20, 30, 10, 21, 14, 28, 18, 25, 24, 17, 4, 5, 26, 2, 7, 8, 19, 22, 11, 29, 12, 27, 6, 15, 16, 23, 1}",5.403462,0.111023,0.000117
"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,"{1, 28, 26, 22, 12, 16, 10, 19, 2, 23, 13, 8, 29, 14, 3, 7, 20, 25, 11, 21, 27, 30, 15, 4, 17, 18, 6, 5, 24, 9, 1}",5.690040,0.296941,0.000103
"{1, 16, 4, 26, 10, 24, 11, 5, 7, 17, 15, 21, 14, 25, 18, 9, 22, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",4.370493,"{1, 16, 4, 26, 3, 28, 8, 19, 23, 20, 2, 27, 29, 12, 30, 13, 6, 7, 17, 15, 21, 5, 11, 24, 10, 22, 9, 18, 25, 14, 1}",4.939018,0.130083,0.000101
"{1, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 7, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.556080,"{1, 11, 2, 23, 28, 24, 10, 20, 17, 30, 27, 3, 15, 7, 16, 19, 8, 14, 18, 5, 13, 29, 21, 25, 22, 26, 12, 6, 9, 4, 1}",5.507215,0.208762,0.000102
"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,"{1, 30, 29, 24, 22, 19, 4, 18, 23, 26, 21, 2, 7, 14, 17, 3, 12, 10, 8, 20, 15, 9, 25, 16, 5, 27, 13, 11, 28, 6, 1}",4.835160,0.039559,0.000102
"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,"{1, 23, 13, 22, 28, 12, 4, 16, 6, 29, 8, 30, 2, 5, 11, 7, 3, 9, 18, 25, 24, 19, 20, 14, 26, 27, 10, 15, 17, 21, 1}",5.538702,0.180666,0.000113
"{1, 27, 13, 16, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 1}",4.396293,"{1, 27, 13, 3, 16, 6, 7, 17, 14, 22, 26, 18, 30, 11, 10, 19, 2, 25, 12, 20, 28, 23, 5, 9, 15, 24, 4, 8, 21, 29, 1}",4.828669,0.098350,0.000102
