optimal_tour,optimal_tour_length,transformer_tour,transformer_tour_length,score,time
"{1, 23, 14, 13, 24, 25, 18, 12, 8, 30, 17, 4, 15, 29, 5, 10, 27, 11, 26, 3, 21, 28, 6, 2, 19, 22, 16, 7, 9, 20, 1}",4.473870,"{1, 20, 9, 28, 7, 16, 22, 19, 6, 2, 21, 3, 26, 11, 27, 10, 5, 29, 15, 4, 17, 30, 8, 12, 18, 25, 24, 13, 14, 23, 1}",4.493886,0.004474,0.469264
"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 10, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 21, 24, 15, 20, 30, 13, 12, 19, 1}",4.470979,"{1, 29, 4, 28, 2, 11, 17, 22, 5, 27, 25, 14, 18, 3, 7, 23, 6, 9, 16, 8, 26, 10, 24, 21, 15, 20, 12, 30, 13, 19, 1}",4.540697,0.015593,0.042908
"{1, 8, 11, 28, 4, 22, 17, 5, 9, 15, 27, 16, 20, 7, 29, 18, 12, 23, 19, 24, 10, 21, 25, 14, 3, 30, 13, 2, 6, 26, 1}",4.241726,"{1, 26, 6, 2, 13, 30, 3, 14, 25, 21, 10, 24, 23, 19, 12, 18, 29, 7, 20, 16, 27, 15, 9, 5, 17, 22, 4, 28, 11, 8, 1}",4.244090,0.000557,0.042706
"{1, 3, 24, 25, 17, 4, 5, 26, 2, 7, 8, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 6, 27, 16, 23, 1}",4.863501,"{1, 3, 24, 25, 18, 28, 14, 10, 21, 22, 19, 30, 20, 9, 13, 11, 29, 12, 15, 27, 6, 16, 23, 26, 5, 2, 7, 8, 17, 4, 1}",5.048965,0.038134,0.042767
"{1, 24, 6, 18, 4, 17, 5, 15, 30, 27, 25, 11, 21, 20, 3, 7, 14, 29, 8, 9, 13, 23, 2, 16, 10, 19, 12, 22, 26, 28, 1}",4.387277,"{1, 24, 5, 17, 4, 18, 6, 21, 11, 25, 27, 15, 30, 3, 7, 14, 29, 20, 22, 23, 8, 13, 9, 2, 16, 10, 19, 12, 28, 26, 1}",4.472249,0.019368,0.042997
"{1, 16, 4, 26, 10, 24, 11, 5, 7, 17, 15, 21, 14, 25, 18, 9, 22, 6, 13, 30, 12, 29, 27, 2, 20, 23, 19, 8, 28, 3, 1}",4.370493,"{1, 16, 4, 26, 3, 28, 8, 19, 23, 2, 20, 22, 9, 18, 25, 14, 21, 15, 17, 7, 6, 13, 30, 5, 11, 24, 10, 12, 29, 27, 1}",4.517385,0.033610,0.044558
"{1, 6, 12, 26, 22, 9, 25, 21, 29, 13, 5, 18, 14, 8, 19, 16, 7, 15, 3, 4, 27, 30, 17, 20, 10, 24, 28, 23, 2, 11, 1}",4.556080,"{1, 11, 2, 23, 28, 24, 10, 20, 17, 30, 27, 4, 3, 15, 7, 16, 19, 8, 14, 18, 5, 13, 29, 21, 25, 9, 22, 26, 12, 6, 1}",4.556080,0.000000,0.043242
"{1, 28, 11, 13, 27, 5, 16, 25, 9, 10, 8, 15, 20, 12, 3, 17, 14, 7, 2, 21, 26, 23, 18, 4, 19, 22, 24, 29, 6, 30, 1}",4.651166,"{1, 30, 29, 24, 22, 19, 4, 18, 23, 26, 21, 2, 7, 14, 17, 3, 12, 20, 15, 8, 10, 9, 25, 16, 5, 27, 6, 13, 11, 28, 1}",4.730296,0.017013,0.042792
"{1, 23, 13, 22, 25, 18, 9, 3, 7, 26, 14, 20, 19, 24, 11, 5, 30, 2, 8, 29, 6, 16, 4, 12, 27, 10, 17, 15, 21, 28, 1}",4.691166,"{1, 28, 21, 15, 17, 10, 27, 12, 4, 16, 6, 29, 8, 11, 24, 19, 20, 14, 26, 7, 3, 9, 5, 30, 2, 18, 25, 22, 13, 23, 1}",4.794939,0.022121,0.042730
"{1, 27, 13, 16, 3, 29, 21, 8, 4, 5, 23, 9, 15, 24, 28, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 1}",4.396293,"{1, 27, 13, 3, 29, 21, 8, 4, 5, 15, 9, 23, 28, 24, 20, 12, 25, 2, 18, 30, 10, 11, 19, 26, 22, 14, 17, 7, 6, 16, 1}",4.476428,0.018228,0.042823
"{1, 29, 12, 23, 10, 7, 30, 6, 26, 25, 14, 21, 19, 27, 17, 22, 4, 8, 11, 15, 2, 24, 20, 13, 9, 28, 3, 5, 18, 16, 1}",4.349826,"{1, 29, 12, 10, 6, 30, 7, 26, 25, 14, 21, 19, 27, 17, 22, 4, 8, 11, 15, 2, 24, 20, 16, 13, 9, 28, 3, 5, 18, 23, 1}",4.502614,0.035125,0.044332
"{1, 9, 23, 26, 7, 2, 19, 6, 15, 28, 27, 30, 10, 4, 8, 18, 13, 25, 12, 24, 16, 3, 21, 14, 5, 20, 17, 22, 11, 29, 1}",4.349609,"{1, 29, 21, 3, 14, 16, 24, 5, 12, 25, 13, 20, 17, 22, 4, 18, 8, 10, 30, 27, 28, 15, 6, 19, 2, 7, 26, 23, 9, 11, 1}",4.508684,0.036572,0.045255
"{1, 10, 22, 12, 8, 27, 14, 25, 29, 7, 15, 6, 24, 18, 3, 13, 4, 17, 2, 30, 26, 20, 19, 16, 11, 5, 21, 23, 9, 28, 1}",4.757735,"{1, 10, 2, 17, 4, 30, 26, 11, 16, 19, 20, 3, 13, 18, 24, 6, 15, 7, 25, 29, 14, 27, 8, 12, 22, 28, 9, 21, 5, 23, 1}",4.901575,0.030233,0.043054
"{1, 25, 27, 20, 16, 17, 6, 23, 30, 12, 26, 29, 24, 5, 13, 11, 8, 2, 22, 28, 15, 18, 9, 21, 3, 4, 14, 10, 7, 19, 1}",4.608700,"{1, 19, 7, 14, 4, 3, 21, 9, 18, 15, 8, 11, 2, 22, 28, 13, 5, 24, 29, 26, 12, 30, 23, 6, 17, 16, 27, 25, 20, 10, 1}",4.719841,0.024116,0.042767
"{1, 19, 26, 24, 20, 28, 8, 5, 12, 29, 3, 15, 14, 22, 9, 30, 10, 21, 13, 23, 4, 16, 7, 18, 6, 2, 25, 27, 17, 11, 1}",4.607524,"{1, 19, 26, 24, 20, 8, 28, 12, 29, 3, 15, 14, 22, 9, 30, 10, 21, 13, 23, 4, 16, 7, 18, 6, 2, 25, 27, 17, 11, 5, 1}",4.971798,0.079061,0.043018
"{1, 12, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 8, 22, 10, 3, 23, 5, 6, 15, 9, 21, 24, 25, 4, 17, 7, 14, 1}",3.668962,"{1, 12, 13, 16, 30, 2, 20, 18, 27, 29, 19, 28, 11, 26, 8, 22, 10, 3, 23, 5, 6, 15, 9, 21, 25, 17, 4, 24, 14, 7, 1}",3.705256,0.009892,0.042702
"{1, 14, 26, 3, 29, 9, 27, 28, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 22, 15, 5, 21, 11, 10, 18, 17, 16, 1}",4.800034,"{1, 14, 26, 29, 3, 9, 27, 28, 6, 13, 12, 24, 19, 4, 2, 20, 30, 25, 7, 23, 8, 22, 15, 5, 21, 11, 10, 18, 17, 16, 1}",4.819371,0.004028,0.042699
"{1, 7, 21, 16, 13, 23, 29, 3, 27, 9, 4, 25, 2, 14, 10, 30, 6, 18, 24, 8, 26, 17, 28, 20, 22, 11, 15, 12, 19, 5, 1}",4.394509,"{1, 5, 19, 15, 11, 22, 20, 28, 17, 26, 8, 24, 18, 30, 6, 10, 14, 2, 25, 4, 23, 29, 9, 27, 3, 21, 16, 13, 7, 12, 1}",4.440053,0.010364,0.045313
"{1, 6, 28, 17, 19, 24, 29, 7, 5, 20, 11, 8, 18, 21, 10, 15, 9, 22, 4, 12, 2, 14, 25, 30, 16, 13, 27, 23, 26, 3, 1}",4.625886,"{1, 3, 26, 23, 27, 13, 16, 30, 14, 25, 2, 12, 4, 22, 9, 15, 10, 21, 18, 8, 11, 20, 5, 7, 29, 24, 19, 17, 6, 28, 1}",4.673252,0.010239,0.042850
"{1, 16, 10, 22, 19, 24, 25, 2, 6, 28, 11, 8, 18, 15, 20, 27, 4, 13, 26, 3, 9, 29, 30, 7, 14, 21, 17, 12, 5, 23, 1}",4.927252,"{1, 23, 5, 12, 17, 21, 14, 7, 30, 29, 9, 3, 26, 13, 4, 27, 20, 15, 18, 8, 11, 28, 6, 2, 25, 24, 19, 22, 10, 16, 1}",4.927252,0.000000,0.042779
"{1, 24, 11, 16, 25, 22, 29, 9, 27, 15, 13, 21, 5, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 6, 14, 28, 12, 20, 2, 17, 1}",4.747001,"{1, 24, 11, 16, 25, 22, 29, 9, 27, 15, 8, 30, 19, 10, 3, 26, 7, 23, 18, 4, 6, 14, 28, 12, 13, 21, 5, 20, 2, 17, 1}",4.982741,0.049661,0.043116
"{1, 6, 17, 29, 10, 12, 2, 5, 23, 3, 25, 9, 30, 28, 13, 19, 20, 8, 26, 24, 22, 7, 21, 14, 27, 11, 18, 4, 15, 16, 1}",4.186549,"{1, 16, 6, 17, 29, 10, 12, 2, 5, 23, 3, 25, 9, 30, 28, 13, 19, 20, 26, 8, 7, 22, 24, 21, 14, 27, 11, 18, 4, 15, 1}",4.194844,0.001981,0.042781
"{1, 17, 13, 9, 25, 28, 23, 15, 10, 27, 19, 11, 24, 8, 16, 5, 6, 20, 26, 30, 4, 12, 14, 21, 29, 2, 22, 18, 7, 3, 1}",4.189502,"{1, 3, 7, 18, 22, 2, 29, 21, 14, 12, 4, 30, 26, 20, 6, 5, 16, 8, 24, 11, 19, 27, 10, 15, 23, 28, 25, 9, 13, 17, 1}",4.189502,0.000000,0.042886
"{1, 8, 24, 29, 4, 10, 22, 21, 27, 9, 30, 28, 18, 7, 17, 11, 26, 19, 15, 12, 3, 23, 14, 16, 2, 25, 6, 5, 13, 20, 1}",4.683528,"{1, 8, 24, 29, 4, 10, 22, 21, 27, 9, 7, 17, 18, 30, 28, 11, 26, 19, 15, 12, 3, 23, 14, 16, 2, 25, 6, 5, 13, 20, 1}",4.703357,0.004234,0.042812
"{1, 12, 29, 23, 7, 25, 10, 16, 8, 3, 30, 21, 2, 27, 13, 6, 9, 17, 24, 28, 14, 15, 22, 11, 5, 18, 20, 19, 26, 4, 1}",4.261121,"{1, 12, 29, 23, 7, 25, 10, 16, 8, 30, 3, 21, 2, 27, 13, 6, 9, 17, 24, 28, 14, 15, 22, 11, 5, 18, 20, 26, 4, 19, 1}",4.307442,0.010871,0.043082
"{1, 9, 23, 7, 26, 30, 14, 11, 3, 22, 17, 28, 6, 16, 25, 27, 19, 5, 10, 21, 8, 18, 2, 24, 29, 13, 12, 15, 20, 4, 1}",4.938670,"{1, 9, 7, 23, 18, 2, 24, 13, 29, 12, 15, 4, 20, 21, 10, 5, 8, 27, 19, 25, 16, 6, 28, 17, 22, 3, 11, 14, 30, 26, 1}",5.092033,0.031054,0.042655
"{1, 29, 9, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 3, 26, 18, 23, 20, 2, 10, 14, 17, 6, 22, 13, 15, 11, 12, 1}",4.134695,"{1, 29, 9, 19, 16, 25, 7, 5, 28, 4, 30, 8, 21, 27, 24, 26, 3, 18, 23, 20, 2, 10, 14, 17, 6, 15, 11, 12, 13, 22, 1}",4.338902,0.049389,0.042698
"{1, 16, 14, 25, 22, 13, 3, 19, 17, 2, 27, 6, 23, 8, 28, 9, 20, 26, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.180856,"{1, 16, 14, 25, 13, 3, 22, 19, 17, 2, 27, 6, 20, 9, 28, 8, 23, 26, 10, 11, 12, 21, 7, 4, 18, 5, 15, 24, 29, 30, 1}",4.238648,0.013823,0.042711
"{1, 24, 5, 21, 19, 13, 7, 17, 27, 9, 10, 8, 29, 11, 2, 26, 3, 4, 12, 25, 20, 15, 30, 18, 28, 23, 14, 6, 22, 16, 1}",4.894875,"{1, 16, 22, 6, 14, 23, 28, 18, 30, 15, 20, 25, 12, 4, 3, 26, 2, 11, 29, 8, 10, 9, 27, 17, 7, 13, 19, 21, 5, 24, 1}",4.894874,0.000000,0.045134
"{1, 14, 28, 20, 8, 24, 18, 16, 6, 22, 12, 15, 7, 3, 11, 19, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 21, 1}",5.068324,"{1, 7, 15, 3, 11, 19, 5, 27, 29, 30, 4, 13, 9, 25, 2, 23, 26, 17, 10, 21, 8, 24, 18, 16, 20, 28, 14, 12, 22, 6, 1}",5.316279,0.048923,0.043040
"{1, 3, 30, 29, 7, 9, 14, 16, 27, 25, 4, 18, 28, 15, 10, 2, 26, 5, 13, 23, 8, 17, 11, 22, 21, 6, 12, 19, 20, 24, 1}",4.183873,"{1, 24, 20, 19, 12, 6, 21, 22, 11, 17, 8, 23, 13, 5, 26, 2, 10, 15, 28, 18, 4, 25, 27, 16, 14, 9, 7, 29, 30, 3, 1}",4.183873,0.000000,0.042723
"{1, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 28, 30, 6, 12, 7, 16, 5, 14, 27, 26, 20, 1}",4.552574,"{1, 20, 27, 14, 5, 26, 3, 4, 22, 21, 8, 17, 11, 10, 25, 2, 13, 24, 9, 23, 18, 19, 15, 29, 28, 30, 6, 12, 7, 16, 1}",4.766176,0.046919,0.042676
"{1, 7, 21, 29, 3, 14, 8, 24, 16, 19, 20, 15, 30, 6, 18, 27, 9, 26, 5, 28, 25, 12, 4, 17, 23, 22, 11, 10, 13, 2, 1}",4.688631,"{1, 2, 13, 10, 11, 22, 23, 17, 4, 12, 25, 28, 5, 26, 9, 27, 18, 6, 30, 15, 20, 19, 16, 24, 8, 3, 14, 29, 21, 7, 1}",4.744800,0.011980,0.043188
"{1, 2, 29, 11, 16, 4, 23, 7, 15, 18, 24, 5, 28, 14, 25, 27, 3, 19, 17, 20, 6, 21, 12, 10, 9, 8, 26, 22, 13, 30, 1}",4.333652,"{1, 30, 13, 22, 26, 2, 29, 11, 8, 9, 16, 4, 23, 7, 15, 18, 24, 5, 28, 14, 25, 27, 3, 19, 17, 20, 6, 12, 10, 21, 1}",4.555005,0.051078,0.042701
"{1, 20, 4, 6, 21, 26, 29, 10, 11, 22, 5, 9, 16, 24, 25, 14, 13, 17, 27, 8, 18, 12, 23, 30, 19, 2, 15, 28, 3, 7, 1}",4.403530,"{1, 7, 3, 28, 15, 2, 19, 30, 23, 17, 12, 18, 8, 27, 13, 14, 25, 24, 16, 9, 5, 22, 11, 10, 29, 26, 21, 6, 4, 20, 1}",4.405726,0.000499,0.045152
"{1, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 29, 13, 24, 22, 19, 4, 26, 16, 10, 25, 11, 7, 9, 8, 5, 12, 6, 27, 3, 1}",4.548898,"{1, 14, 30, 20, 28, 2, 23, 17, 21, 15, 18, 22, 29, 13, 24, 19, 4, 26, 16, 10, 25, 11, 7, 9, 8, 5, 12, 6, 27, 3, 1}",4.563967,0.003313,0.042749
"{1, 19, 9, 2, 25, 4, 3, 16, 13, 5, 27, 20, 11, 18, 30, 15, 26, 12, 28, 6, 17, 24, 21, 22, 29, 7, 23, 14, 10, 8, 1}",4.414240,"{1, 19, 9, 2, 25, 4, 3, 8, 10, 14, 23, 7, 29, 22, 21, 24, 17, 6, 28, 12, 26, 15, 30, 18, 16, 13, 5, 27, 20, 11, 1}",4.679326,0.060052,0.042660
"{1, 15, 5, 27, 9, 21, 7, 17, 20, 24, 22, 28, 13, 14, 23, 3, 25, 18, 11, 8, 2, 4, 26, 6, 29, 16, 10, 12, 19, 30, 1}",4.668291,"{1, 30, 15, 5, 27, 9, 21, 7, 22, 24, 17, 20, 19, 12, 10, 16, 29, 6, 26, 4, 2, 8, 11, 18, 14, 23, 3, 25, 28, 13, 1}",4.979441,0.066652,0.042784
"{1, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 23, 6, 3, 22, 4, 14, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 11, 1}",4.071125,"{1, 11, 25, 27, 18, 9, 13, 19, 24, 30, 8, 26, 10, 21, 23, 6, 3, 22, 4, 14, 29, 2, 28, 17, 7, 5, 16, 12, 15, 20, 1}",4.073021,0.000466,0.043660
"{1, 6, 3, 27, 21, 22, 7, 15, 23, 17, 5, 29, 16, 11, 12, 2, 13, 25, 18, 10, 9, 26, 28, 30, 20, 24, 4, 19, 14, 8, 1}",4.050708,"{1, 8, 14, 19, 4, 20, 24, 30, 28, 26, 9, 10, 18, 25, 13, 2, 12, 11, 16, 29, 5, 17, 23, 15, 7, 22, 21, 27, 3, 6, 1}",4.067742,0.004205,0.042645
"{1, 27, 8, 23, 4, 13, 9, 14, 26, 17, 19, 6, 24, 25, 16, 7, 30, 10, 18, 15, 22, 5, 20, 2, 21, 12, 29, 11, 3, 28, 1}",4.344605,"{1, 28, 3, 11, 29, 12, 21, 2, 20, 5, 22, 15, 18, 10, 30, 7, 16, 25, 24, 6, 19, 17, 26, 14, 9, 13, 8, 27, 23, 4, 1}",4.395581,0.011733,0.044735
