Graf	    Nodes	Decisions	Acumulat
a280	    280	    278	        278
att48	    48	    46      	324
bayg29	    29  	27	        351
bays29	    29  	27      	378
berlin52	52  	50	        428
brg180	    180 	178	        606
ch130	    130 	128	        734
ch150	    150 	148     	882
eil101	    101 	99	        981
eil51	    51  	49	        1030
eil76   	76  	74	        1104
fri26   	26  	24	        1128
gr120   	120 	118	        1246
gr202   	202 	200	        1446
gr24	    24  	22	        1468
gr48	    48  	46      	1514
gr666      	666 	664     	2178
gr96	    96  	94	        2272
kroA100	    100 	98	        2370
kroC100	    100 	98	        2468
kroD100 	100 	98	        2566
lin105	    105 	103         2669
pa561   	561 	559	        3228
pcb442	    442 	440	        3668
pr1002  	1002	1000	    4668
pr2392	    2392	2390    	7058
pr76	    76	    74      	7132
rd100   	100	    98      	7230
st70	    70  	68	        7298
tsp225  	225 	223	        7521
ulysses16	16  	14      	7535
ulysses22	22  	20      	7555




DIMENSION <= 1000
Graf	        Nodes	Decisions	Acumulat    Index
0:  a280	    280	    278	        278         277
1:  att48	    48	    46      	324         323
2:  bayg29	    29  	27	        351         350
3:  bays29	    29  	27      	378         377
4:  berlin52	52  	50	        428         427
5:  brg180	    180 	178	        606         605
6:  ch130	    130 	128	        734         733
7:  ch150	    150 	148     	882         881
8:  eil101	    101 	99	        981         980
9:  eil51	    51  	49	        1030        1029
10: eil76   	76  	74	        1104        1103
11: fri26   	26  	24	        1128        1127
12: gr120   	120 	118	        1246        1245
13: gr202   	202 	200	        1446        1445
14: gr24	    24  	22	        1468        1467
15: gr48	    48  	46      	1514        1513
16: gr666      	666 	664     	2178        2177
17: gr96	    96  	94	        2272        2271
18: kroA100	    100 	98	        2370        2369
19: kroC100	    100 	98	        2468        2467
20: kroD100 	100 	98	        2566        2565
21: lin105	    105 	103         2669        2668
22: pa561   	561 	559	        3228        3227
23: pcb442	    442 	440	        3668        3667
24: pr76	    76	    74      	3742        3741
25: rd100   	100	    98      	3840        3839
26: st70	    70  	68	        3908        3907
27: tsp225  	225 	223	        4131        4130
28: ulysses16	16  	14      	4145        4144
29: ulysses22	22  	20      	4165        4164
